0,5221,5.0
0,5224,5.0
0,5259,5.0
0,5771,5.0
0,6362,5.0
1,2094,5.0
1,2463,3.0
1,3148,4.0
1,3776,5.0
1,4178,5.0
1,4179,5.0
1,4965,5.0
1,5440,4.0
2,2619,4.0
2,3766,5.0
2,4187,5.0
2,4703,5.0
2,5215,5.0
2,5381,5.0
3,1838,5.0
3,2755,5.0
3,3028,5.0
3,3216,5.0
3,3337,4.0
3,3338,5.0
3,3877,5.0
3,4121,4.0
3,4125,3.0
3,5106,5.0
3,5319,3.0
3,5381,2.0
4,3149,5.0
4,4330,4.0
4,4525,4.0
4,5080,3.0
4,5100,4.0
4,5255,3.0
4,5351,3.0
4,5447,2.0
4,5846,5.0
4,6218,5.0
4,6367,5.0
4,6382,4.0
4,6507,4.0
5,1902,4.0
5,2155,4.0
5,2365,5.0
5,2772,5.0
5,2816,5.0
5,2918,3.0
5,2979,5.0
5,3219,5.0
5,3360,3.0
5,3401,5.0
5,3493,5.0
5,3655,4.0
5,3729,4.0
5,3805,5.0
5,4580,5.0
5,5610,5.0
5,6163,5.0
5,6207,5.0
5,6249,4.0
6,448,5.0
6,806,2.0
6,1123,3.0
6,2543,2.0
6,2669,5.0
6,2694,5.0
6,2939,5.0
6,2954,4.0
6,2970,2.0
6,3019,4.0
6,3023,5.0
6,3129,2.0
6,3135,2.0
6,3370,5.0
6,3584,4.0
6,3940,4.0
6,4039,5.0
6,4079,5.0
6,4292,4.0
6,4308,3.0
6,4483,5.0
6,4494,3.0
6,4549,5.0
6,4623,4.0
6,4677,5.0
6,4691,5.0
6,4756,5.0
6,4758,5.0
6,4779,5.0
6,5063,5.0
6,5065,5.0
6,5066,5.0
6,5216,5.0
6,5224,5.0
6,5234,5.0
6,5271,5.0
6,5335,5.0
6,5456,5.0
6,5499,2.0
6,5800,5.0
6,5802,5.0
6,5823,4.0
6,5872,5.0
6,5896,5.0
6,5907,2.0
6,5914,5.0
6,6008,5.0
6,6011,5.0
6,6063,5.0
6,6119,5.0
6,6156,5.0
6,6162,5.0
6,6198,4.0
6,6200,4.0
6,6201,4.0
6,6216,5.0
6,6217,5.0
6,6246,5.0
6,6253,3.0
6,6270,5.0
6,6321,4.0
6,6362,4.0
6,6380,5.0
6,6386,5.0
6,6388,4.0
6,6412,4.0
6,6427,5.0
6,6431,4.0
6,6479,5.0
6,6482,4.0
6,6488,4.0
6,6514,5.0
6,6515,4.0
6,6586,5.0
6,6588,5.0
6,6590,5.0
6,6631,5.0
6,6664,5.0
7,5363,3.0
7,5382,4.0
7,5522,5.0
7,5655,5.0
7,6156,4.0
8,1900,5.0
8,2939,5.0
8,2943,4.0
8,2969,5.0
8,3047,4.0
8,3121,4.0
8,3129,5.0
8,3241,5.0
8,3470,5.0
8,3492,5.0
8,3969,5.0
8,5063,5.0
8,5500,5.0
8,5610,5.0
8,5624,5.0
8,5736,2.0
8,5823,5.0
8,5869,5.0
8,6011,3.0
8,6249,5.0
8,6366,5.0
9,2288,4.0
9,2435,5.0
9,2739,4.0
9,3215,4.0
9,3729,3.0
9,4070,5.0
9,4342,5.0
9,5168,5.0
9,6018,2.0
10,1341,5.0
10,2786,4.0
10,4122,5.0
10,4597,3.0
10,5100,5.0
10,5166,5.0
10,5846,5.0
10,6026,4.0
10,6367,4.0
11,2077,5.0
11,2467,4.0
11,2590,2.0
11,2597,4.0
11,2762,3.0
11,2939,5.0
11,3047,3.0
11,3374,5.0
11,3414,5.0
11,5066,4.0
11,6249,5.0
11,6563,5.0
12,2140,5.0
12,2229,4.0
12,2458,1.0
12,3072,5.0
12,3302,4.0
12,3631,3.0
12,4195,5.0
12,4342,4.0
12,4862,2.0
12,6370,5.0
13,958,1.0
13,1402,4.0
13,1594,5.0
13,1631,5.0
13,1644,5.0
13,1824,5.0
13,1936,5.0
13,2027,5.0
13,2215,4.0
13,2217,5.0
13,2275,4.0
13,2293,5.0
13,2304,3.0
13,2415,3.0
13,2426,5.0
13,2524,5.0
